,State,Longitude,Latitude
0,Alaska,-154.1049168421551,61.49463399160149
1,California,-119.2589342005981,37.268986550836104
2,Hawaii,-157.516751085128,20.575453090217934
3,Idaho,-114.14184603145196,45.49727499513972
4,Nevada,-117.0168584029363,38.49777575092568
5,Oregon,-120.51501783529685,44.1118818988146
6,Washington,-120.82595111961112,47.271512035035954
7,Arizona,-111.93368809976758,34.169779998700335
8,Arkansas,-92.13136814730896,34.751481341407754
9,Colorado,-105.54653433386613,38.996184486814
10,Iowa,-93.39175299369867,41.93670200422355
11,Kansas,-98.32637995376103,38.49593176023882
12,Louisiana,-91.53179415196468,30.981539061324924
13,Minnesota,-93.38005476091803,46.43491611688506
14,Missouri,-92.43625670317988,38.299720386273066
15,Montana,-110.05330181148429,46.67683321059721
16,Nebraska,-99.68245830974189,41.49782864626212
17,New Mexico,-106.02437360243098,34.171606609132056
18,North Dakota,-100.30746104311581,47.4654244493382
19,Oklahoma,-98.71313075511728,35.31130734056481
20,South Dakota,-100.2502154555375,44.216003252174715
21,Texas,-100.07872540954037,31.169735055284065
22,Utah,-111.54523970593996,39.49702342789985
23,Wyoming,-107.5525670460471,42.99854103121692
24,Alabama,-86.68348391132949,32.624818960315395
25,Connecticut,-72.75674325127324,41.52291024542333
26,Delaware,-75.41835880264054,39.14486060367366
27,District of Columbia,-77.01661651028331,38.89088754438629
28,Florida,-83.83831121052137,27.979766789918585
29,Georgia,-83.25185689899675,32.68082922876843
30,Illinois,-89.51209675156687,39.74809300028514
31,Indiana,-86.44446799923963,39.770882296601854
32,Kentucky,-85.7639032059621,37.819317102676706
33,Maine,-69.02839016064647,45.27219253062364
34,Maryland,-77.2677438959766,38.84785799541689
35,Massachusetts,-71.70830989229938,42.062578593468544
36,Michigan,-86.41401781795821,44.93564504981842
37,Mississippi,-89.86707553977061,32.59998842943142
38,New Hampshire,-71.64378368730809,44.00003635595354
39,New Jersey,-74.73319124635816,40.15362776503852
40,New York,-75.81661085191729,42.75607105889355
41,North Carolina,-79.8901769699535,35.235966213469794
42,Ohio,-82.6660333534567,40.19369155865036
43,Pennsylvania,-77.61305379693977,40.99332034735468
44,Rhode Island,-71.49190553686694,41.66824150496447
45,South Carolina,-80.96506934569396,33.63826519203516
46,Tennessee,-85.97886026013984,35.83422151108732
47,Vermont,-72.4706864998299,43.86960209912007
48,Virginia,-79.45869804287975,37.9993108594586
49,West Virginia,-80.18731287000378,38.921056611047504
50,Wisconsin,-89.92655483982475,44.72081615883425
